"species","decimalLatitude","decimalLongitude"
"Eucalyptus tereticornis",-28.22,152.45
"Eucalyptus tereticornis",-26.88,151.62
"Eucalyptus tereticornis",-33.3567,150.9683
"Eucalyptus tereticornis",-30.9,153.05
"Eucalyptus tereticornis",-37.68,147.87
"Eucalyptus tereticornis",-33.87,151.25
"Eucalyptus tereticornis",-17.25,145.42
"Eucalyptus tereticornis",-27.5386,152.8575
"Eucalyptus tereticornis",-35.35,150.48
"Eucalyptus tereticornis",-33.972616,150.866776
"Eucalyptus tereticornis",-32.48,151.2
"Eucalyptus tereticornis",-28.25,152.92
"Eucalyptus tereticornis",-32.218556,149.830873
"Eucalyptus tereticornis",-9.42,147.42
"Eucalyptus tereticornis",-16.3511,144.7303
"Eucalyptus tereticornis",-27.5217,152.8261
"Eucalyptus tereticornis",-36.535,149.7833
"Eucalyptus tereticornis",-31.85,152.6
"Eucalyptus tereticornis",-27.92,153.42
"Eucalyptus tereticornis",-28.2958,152.8667
"Eucalyptus tereticornis",-24.9,148.05
"Eucalyptus tereticornis",-27.2,149.67
"Eucalyptus tereticornis",-28.17,151.7
"Eucalyptus tereticornis",-34.12,150.22
"Eucalyptus tereticornis",-34,150.45
"Eucalyptus tereticornis",-26.2333,150.3
"Eucalyptus tereticornis",-22.72,150.45
"Eucalyptus tereticornis",-30.72,152.92
"Eucalyptus tereticornis",-26.72,151.58
"Eucalyptus tereticornis",-31.67,151.67
"Eucalyptus tereticornis",-26.3,152.6
"Eucalyptus tereticornis",-34.08,150.78
"Eucalyptus tereticornis",-24.87,150.97
"Eucalyptus tereticornis",-27.474783,152.810578
"Eucalyptus tereticornis",-21.4108,148.9569
"Eucalyptus tereticornis",-18.0822,144.8572
"Eucalyptus tereticornis",-20.8,147.83
"Eucalyptus tereticornis",-26.78,150.67
"Eucalyptus tereticornis",-34.07,150.78
"Eucalyptus tereticornis",-32.665301,151.716446
"Eucalyptus tereticornis",-34.046329,150.804686
"Eucalyptus tereticornis",-33.908625,150.648634
"Eucalyptus tereticornis",-28.903905,153.118689
"Eucalyptus tereticornis",-33.78581,150.80841
"Eucalyptus tereticornis",-33.686272,150.907155
"Eucalyptus tereticornis",-34.563885,150.740907
"Eucalyptus tereticornis",-33.76981,150.675119
"Eucalyptus tereticornis",-28.534839,152.83936
"Eucalyptus tereticornis",-33.132086,150.325393
"Eucalyptus tereticornis",-33.931833,150.860034
"Eucalyptus tereticornis",-32.365714,150.847792
"Eucalyptus tereticornis",-33.799128,150.683224
"Eucalyptus tereticornis",-32.265072,151.927847
"Eucalyptus tereticornis",-32.615594,151.645079
"Eucalyptus tereticornis",-33.274531,151.488367
"Eucalyptus tereticornis",-33.065085,151.567807
"Eucalyptus tereticornis",-28.744783,153.176089
"Eucalyptus tereticornis",-34.084351,150.826472
"Eucalyptus tereticornis",-33.802067,150.904983
"Eucalyptus tereticornis",-32.645139,151.127565
"Eucalyptus tereticornis",-34.508658,150.734275
"Eucalyptus tereticornis",-29.851965,152.260849
"Eucalyptus tereticornis",-29.699804,152.670213
"Eucalyptus tereticornis",-35.701805,150.176535
"Eucalyptus tereticornis",-34.086323,150.824796
"Eucalyptus tereticornis",-29.833215,152.784274
"Eucalyptus tereticornis",-29.600451,152.586626
"Eucalyptus tereticornis",-29.315874,152.577479
"Eucalyptus tereticornis",-28.770081,153.139292
"Eucalyptus tereticornis",-29.223115,153.117893
"Eucalyptus tereticornis",-30.029283,152.344059
"Eucalyptus tereticornis",-32.658372,151.05919
"Eucalyptus tereticornis",-34.204072,150.580088
"Eucalyptus tereticornis",-31.939963,151.708511
"Eucalyptus tereticornis",-32.785037,151.541485
"Eucalyptus tereticornis",-28.753414,153.078726
"Eucalyptus tereticornis",-29.664156,152.821458
"Eucalyptus tereticornis",-33.904674,150.979362
"Eucalyptus tereticornis",-34.521651,150.7295
"Eucalyptus tereticornis",-33.64184,150.90421
"Eucalyptus tereticornis",-33.726716,150.954215
"Eucalyptus tereticornis",-29.785668,153.034181
"Eucalyptus tereticornis",-32.900449,151.346538
"Eucalyptus tereticornis",-30.75704,152.29283
"Eucalyptus tereticornis",-34.017981,150.171089
"Eucalyptus tereticornis",-31.480359,152.436952
"Eucalyptus tereticornis",-33.49214,150.949252
