"species","X","Y"
"Eucalyptus camaldulensis",151.048218,-32.557889
"Eucalyptus camaldulensis",144.993583,-35.932583
"Eucalyptus camaldulensis",145.146123,-35.826517
"Eucalyptus camaldulensis",150.982301,-32.503488
"Eucalyptus camaldulensis",148.2341,-32.141747
"Eucalyptus camaldulensis",144.992225,-35.786633
"Eucalyptus camaldulensis",145.853981,-34.574572
"Eucalyptus camaldulensis",145.026472,-35.855472
"Eucalyptus camaldulensis",145.03169,-35.837668
"Eucalyptus camaldulensis",145.148168,-35.797566
"Eucalyptus camaldulensis",145.026861,-35.855944
"Eucalyptus camaldulensis",150.11633,-32.418772
"Eucalyptus camaldulensis",145.045667,-35.911667
"Eucalyptus camaldulensis",150.033127,-30.145309
"Eucalyptus camaldulensis",146.868338,-36.069404
"Eucalyptus camaldulensis",144.939113,-34.50393
"Eucalyptus camaldulensis",150.982072,-32.501962
"Eucalyptus camaldulensis",144.169783,-34.192711
"Eucalyptus camaldulensis",145.068542,-35.770161
"Eucalyptus camaldulensis",146.4068,-34.606936
"Eucalyptus camaldulensis",144.910735,-35.989696
"Eucalyptus camaldulensis",145.728255,-33.331348
"Eucalyptus camaldulensis",144.935331,-35.87484
"Eucalyptus camaldulensis",151.023648,-32.65412
"Eucalyptus camaldulensis",145.132982,-35.814288
"Eucalyptus camaldulensis",145.061737,-34.466497
"Eucalyptus camaldulensis",145.106166,-35.815184
"Eucalyptus camaldulensis",146.041325,-34.59783
"Eucalyptus camaldulensis",144.30835,-34.264555
"Eucalyptus camaldulensis",147.575984,-30.604462
"Eucalyptus camaldulensis",149.564261,-28.712565
"Eucalyptus camaldulensis",150.982278,-32.514683
"Eucalyptus camaldulensis",150.886641,-32.163538
"Eucalyptus camaldulensis",145.123527,-35.807379
"Eucalyptus camaldulensis",145.018313,-35.789735
"Eucalyptus camaldulensis",144.960306,-35.835444
"Eucalyptus camaldulensis",144.918785,-35.991477
"Eucalyptus camaldulensis",145.054902,-35.89628
"Eucalyptus camaldulensis",145.1024,-35.80465
"Eucalyptus camaldulensis",149.064196,-29.021352
"Eucalyptus camaldulensis",144.93725,-35.963722
"Eucalyptus camaldulensis",144.990139,-35.878889
"Eucalyptus camaldulensis",144.992861,-35.8895
"Eucalyptus camaldulensis",145.145533,-35.823334
"Eucalyptus camaldulensis",145.10185,-35.805885
"Eucalyptus camaldulensis",147.549561,-30.563925
"Eucalyptus camaldulensis",142.438573,-34.567579
"Eucalyptus camaldulensis",144.659594,-35.386876
"Eucalyptus camaldulensis",150.699988,-33.793998
"Eucalyptus camaldulensis",147.544951,-30.753627
"Eucalyptus camaldulensis",144.95163,-35.909003
"Eucalyptus camaldulensis",150.285859,-30.529226
"Eucalyptus camaldulensis",150.863219,-32.17311
"Eucalyptus camaldulensis",147.321432,-35.639073
