"species","decimalLatitude","decimalLongitude"
"Eucalyptus saligna",-30.403816,152.741332
"Eucalyptus saligna",-31.558476,152.445746
"Eucalyptus saligna",-32.396204,151.761228
"Eucalyptus saligna",-32.748853,150.777397
"Eucalyptus saligna",-33.749398,151.009508
"Eucalyptus saligna",-32.95998,151.530219
"Eucalyptus saligna",-30.378341,152.941753
"Eucalyptus saligna",-33.28843,150.706252
"Eucalyptus saligna",-33.779506,151.027005
"Eucalyptus saligna",-33.305688,151.28094
"Eucalyptus saligna",-32.243698,151.692694
"Eucalyptus saligna",-30.197212,152.733921
"Eucalyptus saligna",-30.383753,152.936545
"Eucalyptus saligna",-30.102595,152.672647
"Eucalyptus saligna",-32.157702,151.523668
"Eucalyptus saligna",-34.41928,150.766086
"Eucalyptus saligna",-33.781717,151.080281
"Eucalyptus saligna",-30.11756,153.021842
"Eucalyptus saligna",-29.015085,152.184421
"Eucalyptus saligna",-32.09616,151.726278
"Eucalyptus saligna",-30.14142,152.887901
"Eucalyptus saligna",-31.297017,152.54033
"Eucalyptus saligna",-32.226313,151.257711
"Eucalyptus saligna",-30.187571,152.687364
"Eucalyptus saligna",-29.86051,152.182618
"Eucalyptus saligna",-32.172417,152.008283
"Eucalyptus saligna",-33.344088,151.367222
"Eucalyptus saligna",-32.220785,152.543672
"Eucalyptus saligna",-29.274247,152.416364
"Eucalyptus saligna",-31.99817,151.823658
"Eucalyptus saligna",-28.32891,153.174451
"Eucalyptus saligna",-30.974844,151.931228
"Eucalyptus saligna",-33.439442,151.427776
"Eucalyptus saligna",-30.809182,152.269564
"Eucalyptus saligna",-32.1715,152.087338
"Eucalyptus saligna",-33.357155,151.380069
"Eucalyptus saligna",-28.470891,152.403473
"Eucalyptus saligna",-33.806797,151.017587
"Eucalyptus saligna",-35.673933,150.15835
"Eucalyptus saligna",-30.632412,152.16681
"Eucalyptus saligna",-29.354063,152.218331
"Eucalyptus saligna",-32.228188,151.279365
"Eucalyptus saligna",-29.296224,152.446042
"Eucalyptus saligna",-28.333864,152.616
"Eucalyptus saligna",-31.610884,151.334395
"Eucalyptus saligna",-30.803627,152.223549
"Eucalyptus saligna",-33.703621,151.079182
