"","Threshold","Cloglog value","Fractional predicted area","Training omission rate","Test omission rate","P-values"
"1","Minimum training presence",0.00219968114730129,0.422384370954455,0,0.000644329896907216,0
"2","Equal training sensitivity and specificity",0.202074620018385,0.138401788866659,0.13953488372093,0.0038659793814433,0
"3","Maximum training sensitivity plus specificity",0.124668800946273,0.175826762386725,0.0730897009966777,0.00257731958762887,0
"4","Equal test sensitivity and specificity",0.218072989799861,0.131928916088031,0.142857142857143,0.00451030927835052,0
"5","Maximum test sensitivity plus specificity",0.177761974752131,0.147699187948688,0.116279069767442,0.00257731958762887,0
