"","Threshold","Cloglog value","Fractional predicted area","Training omission rate","Test omission rate","P-values"
"1","Minimum training presence",0.00120503094200741,0.859647058823529,0,0,4.23091994155614e-100
"2","Equal training sensitivity and specificity",0.254435875845206,0.121647058823529,0.121621621621622,0.00198281559814937,0
"3","Maximum training sensitivity plus specificity",0.296998081918447,0.106705882352941,0.121621621621622,0.00198281559814937,0
"4","Equal test sensitivity and specificity",0.136198098684126,0.174705882352941,0.0945945945945946,0.00132187706543291,0
"5","Maximum test sensitivity plus specificity",0.22567814154848,0.130941176470588,0.121621621621622,0.00132187706543291,0
