"","Threshold","Cloglog value","Fractional predicted area","Training omission rate","Test omission rate","P-values"
"1","Minimum training presence",5.48294332158861e-09,0.643764705882353,0,0,1.16805153222896e-304
"2","Equal training sensitivity and specificity",0.0199408914541311,0.0689411764705882,0.0694444444444444,0.00755191944619257,0
"3","Maximum training sensitivity plus specificity",0.0198569650415755,0.0689411764705882,0.0674603174603175,0.00755191944619257,0
"4","Equal test sensitivity and specificity",0.0058467387565605,0.110235294117647,0.0535714285714286,0.00566393958464443,0
"5","Maximum test sensitivity plus specificity",0.0775944629095118,0.0265882352941176,0.142857142857143,0.00881057268722467,0
