"","Threshold","Cloglog value","Fractional predicted area","Training omission rate","Test omission rate","P-values"
"1","Minimum training presence",1.59681891276353e-06,0.627294117647059,0,0.000616142945163278,0
"2","Equal training sensitivity and specificity",0.0775121358313562,0.0358823529411765,0.0359195402298851,0.00369685767097967,0
"3","Maximum training sensitivity plus specificity",0.0416628075337252,0.0443529411764706,0.00718390804597701,0.00184842883548983,0
"4","Equal test sensitivity and specificity",0.0523092134890896,0.042,0.0186781609195402,0.00308071472581639,0
"5","Maximum test sensitivity plus specificity",0.0408201749621462,0.0454117647058824,0.00718390804597701,0.00184842883548983,0
